date,calls,abnd,att,awt,awtx Abnd ,YN
01/02/2018,408,95,42.56666667,76.48333333,0.489247685,10
02/02/2018,484,166,39.86666667,92.05,1.050729167,10
05/02/2018,524,176,37.35,115.0333333,1.199016204,6
06/02/2018,434,155,40.06666667,96.05,0.937696758,10
07/02/2018,477,140,52.26666667,84.78333333,0.591967593,13
08/02/2018,449,143,61.31666667,106.0833333,0.898090279,9
09/02/2018,499,189,51.8,136.9,1.259212963,8
12/02/2018,540,205,46.43333333,106.2,1.331388889,10
13/02/2018,448,176,62.43333333,120.9,1.156597224,9
14/02/2018,402,98,56.45,73.03333333,0.401087963,15
15/02/2018,435,116,41.53333333,80.43333334,0.599560185,12
16/02/2018,451,145,40.35,74.26666666,0.835381943,8
19/02/2018,525,171,39.55,109.8666667,1.098321759,11
